Siruta,Localitate,RataMortalitateInfantila
71055,Bradesti,27.027
41621,Poiana Marului,27.027
150070,Radaseni,27.027
55160,Mica,27.027
132164,Baba Ana,27.027
149316,Malini,26.7857
163967,Gherghesti,26.3158
132271,Baltesti,26.3158
140823,Criseni,26.3158
99209,Strunga,26.3158
169119,Caineni,26.3158
62707,Pestera,26.3158
87219,Oras Aninoasa,25.641
11539,Paulis,25.641
150588,Udesti,25.641
13524,Valea Mare Pravat,25.641
108491,Remetea Chioarului,25.641
159464,Sandra,25.641
62057,Lipnita,25.641
86487,Porumbeni,25.641
97811,Mircesti,25.641
104886,Sarulesti,25.641
132404,Brebu,25.641
71858,Ciupercenii Noi,25.641
21007,Agas,25.641
60687,Oras Ovidiu,25.641
144928,Oras Miercurea Sibiului,25.641
63152,Lumina,25.4237
119242,Oras Sarmasu,25.3165
146325,Mitocu Dragomirnei,25.3165
76969,Pechea,25.0
147786,Cornu Luncii,25.0
12206,Seitin,25.0
74536,Unirea,25.0
73736,Poiana Mare,25.0
121796,Botesti,25.0
140501,Chiesd,25.0
156473,Costeiu,25.0
23494,Motoseni,25.0
137540,Culciu,25.0
104831,Roata De Jos,24.6914
156801,Oras Faget,24.6914
65011,Zagon,24.3902
116796,Fantanele,24.3902
14584,Bogati,24.3902
143646,Tarnava,24.3902
49849,Tintesti,24.3902
95792,Baltati,24.3902
40526,Apata,24.3902
87139,Oras Uricani,24.0964
29724,Ineu,23.8095
85289,Plaiesii De Jos,23.8095
5103,Jidvei,23.8095
37672,Hiliseu-Horia,23.8095
73709,Plenita,23.8095
14165,Baiculesti,23.8095
158859,Teremia Mare,23.8095
175019,Oras Odobesti,23.5294
167320,Puscasi,23.2558
85760,Sandominic,23.2558
156357,Oras Ciacova,23.2558
65413,Doicesti,23.2558
149370,Manastirea Humorului,23.2558
124938,Alexandru Cel Bun,23.2558
36569,Copalau,23.2558
98649,Probota,23.2558
15901,Cosesti,22.7273
36202,Avrameni,22.7273
103997,Joita,22.7273
21668,Buhoci,22.7273
34618,Sant,22.7273
149049,Horodniceni,22.7273
135789,Telega,22.7273
39122,Sendriceni,22.2222
98373,Oras Podu Iloaiei,22.2222
107868,Coroieni,22.2222
93575,Facaeni,22.2222
97606,Lespezi,22.2222
140146,Balan,22.2222
133964,Lipanesti,22.2222
113732,Tamna,21.7391
29341,Dragesti,21.7391
45101,Berca,21.7391
119331,Oras Sangeorgiu De Padure,21.7391
106817,Oras Targu Lapus,21.7391
77910,Balesti,21.7391
143557,Selimbar,21.5827
178545,Vizantea-Livezi,21.2766
72953,Lipovu,21.2766
75150,Vanatori,21.2766
138869,Socond,21.2766
